"Bleaching.Score","PLUG.ID","Timepoint","Treatment","Species","Group","SpGroup"
"102",-2.46195919916232,"2750","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"103",4.33482670824065,"1114","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"104",-6.67864174956111,"1060","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"105",-6.91315038580669,"2156","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"106",0.187035711387049,"2739","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"107",3.36821727620388,"1999","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"108",-6.89964175193983,"1707","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"109",-5.47058117511861,"2855","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"110",-7.55321773381748,"1570","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"111",-7.93470573770833,"2180","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"112",-0.637030994561198,"2866","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"113",-2.19280556604748,"2733","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"114",-4.74952823891753,"2169","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"115",-1.28287307489461,"2552","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"116",-5.13335637746199,"1769","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"117",-7.93315276197328,"1090","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"118",0.7675841709202,"1270","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"119",-6.46129422597993,"2528","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"120",-3.30495863491692,"1579","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"121",-8.03115033289484,"2988","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"122",7.14348920087988,"2511","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"123",9.11937365777684,"1229","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"124",8.9415065972886,"1236","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"125",1.91997244893692,"1736","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"126",1.79807515946726,"1121","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"127",8.88949912629994,"1258","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"128",8.35184439250731,"1157","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"129",7.88703487462424,"2212","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"130",7.7574537303685,"1302","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"131",8.28418995007772,"1775","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"132",7.57604712532818,"1084","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"133",8.44540810598643,"1169","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"134",2.51143817125166,"2172","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"135",8.26401089457894,"1308","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"136",-0.17458524979087,"1243","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"137",5.2037054568514,"1772","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"138",6.03931901231027,"2393","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"139",7.53744021345091,"1426","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"140",3.76712221862618,"1595","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"141",6.90959113521629,"2153","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"142",4.51942506805885,"1609","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"143",2.29505139148332,"1119","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"144",-7.18887792807875,"2388","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"145",3.60621714141038,"1676","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"146",-5.05057856835332,"1588","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"147",-5.73390530379815,"1319","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"148",-6.89786267248079,"1622","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"149",-6.64487842568107,"1583","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"150",-8.12939185485926,"2864","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"151",-8.08414714662713,"1998","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"152",-8.30383581044019,"1181","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"153",-6.14239600670195,"1296","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"154",-6.78630823950137,"1068","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"155",-5.62717470311846,"1212","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"156",-2.17518293423624,"1297","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"157",-6.05097397816318,"1651","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"158",7.12897132285454,"1592","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"159",-7.11048768800418,"1103","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"160",-1.07665701062917,"1044","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"161",1.82893035695823,"2191","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"162",-8.05571466546165,"1115","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"163",8.59651064732581,"2999","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"164",4.34883007975666,"1598","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
